Temperature (K)	Pressure (MPa)	Density (l, mol/m3)	Volume (l, m3/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/m3)	Volume (v, m3/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
145.11	3.9074	21323.	4.6898e-05	-1.6175	-1.4343	81.666	19.597	137.83	295.07	1.6639	4.9860e-05	0.052978	0.00056051	6167.7	0.00016214	0.54587	1.1794	99.677	22.715	158.81	176.39	9.7396	1.6475e-05	0.021674
145.23	3.9248	21261.	4.7034e-05	-1.6074	-1.4228	81.739	19.650	139.90	293.11	1.6874	4.9599e-05	0.052857	0.00054622	6216.1	0.00016087	0.53868	1.1701	99.594	22.810	162.07	176.22	9.6904	1.6533e-05	0.021833
145.34	3.9423	21199.	4.7172e-05	-1.5973	-1.4113	81.813	19.704	142.06	291.12	1.7113	4.9336e-05	0.052736	0.00053201	6265.2	0.00015961	0.53137	1.1606	99.509	22.908	165.46	176.04	9.6409	1.6592e-05	0.021996
145.45	3.9599	21136.	4.7313e-05	-1.5871	-1.3997	81.887	19.761	144.31	289.12	1.7358	4.9072e-05	0.052616	0.00051789	6315.1	0.00015835	0.52395	1.1510	99.424	23.008	169.01	175.86	9.5909	1.6653e-05	0.022163
145.56	3.9775	21072.	4.7456e-05	-1.5767	-1.3880	81.962	19.820	146.66	287.09	1.7608	4.8807e-05	0.052497	0.00050385	6365.8	0.00015709	0.51639	1.1412	99.338	23.110	172.71	175.67	9.5404	1.6714e-05	0.022333
145.67	3.9952	21007.	4.7602e-05	-1.5663	-1.3761	82.038	19.881	149.11	285.04	1.7863	4.8540e-05	0.052379	0.00048990	6417.3	0.00015583	0.50871	1.1313	99.250	23.215	176.59	175.48	9.4895	1.6776e-05	0.022508
145.78	4.0130	20942.	4.7751e-05	-1.5558	-1.3642	82.114	19.945	151.68	282.98	1.8124	4.8272e-05	0.052261	0.00047603	6469.6	0.00015457	0.50089	1.1212	99.162	23.322	180.64	175.29	9.4381	1.6840e-05	0.022687
145.89	4.0308	20876.	4.7903e-05	-1.5452	-1.3521	82.191	20.011	154.37	280.89	1.8391	4.8003e-05	0.052144	0.00046224	6522.8	0.00015331	0.49293	1.1109	99.073	23.432	184.90	175.09	9.3863	1.6905e-05	0.022870
146.01	4.0487	20808.	4.8058e-05	-1.5345	-1.3399	82.268	20.080	157.18	278.78	1.8664	4.7732e-05	0.052028	0.00044855	6576.9	0.00015205	0.48483	1.1004	98.982	23.544	189.36	174.88	9.3339	1.6971e-05	0.023058
146.12	4.0667	20740.	4.8216e-05	-1.5236	-1.3276	82.347	20.152	160.13	276.64	1.8943	4.7459e-05	0.051913	0.00043495	6631.9	0.00015079	0.47657	1.0898	98.891	23.660	194.04	174.67	9.2810	1.7038e-05	0.023251
146.23	4.0847	20671.	4.8377e-05	-1.5127	-1.3151	82.426	20.227	163.23	274.48	1.9229	4.7185e-05	0.051799	0.00042143	6687.9	0.00014952	0.46817	1.0789	98.798	23.778	198.97	174.45	9.2276	1.7106e-05	0.023450
146.34	4.1027	20601.	4.8541e-05	-1.5016	-1.3025	82.506	20.305	166.50	272.30	1.9522	4.6909e-05	0.051686	0.00040802	6744.9	0.00014826	0.45960	1.0679	98.704	23.899	204.16	174.22	9.1735	1.7176e-05	0.023654
146.45	4.1209	20530.	4.8710e-05	-1.4905	-1.2897	82.587	20.386	169.93	270.09	1.9822	4.6631e-05	0.051574	0.00039469	6803.0	0.00014699	0.45086	1.0566	98.609	24.024	209.63	173.99	9.1189	1.7248e-05	0.023864
146.56	4.1391	20458.	4.8882e-05	-1.4792	-1.2768	82.669	20.471	173.56	267.85	2.0129	4.6351e-05	0.051463	0.00038147	6862.1	0.00014573	0.44195	1.0451	98.512	24.153	215.41	173.75	9.0637	1.7320e-05	0.024080
146.67	4.1573	20384.	4.9058e-05	-1.4677	-1.2638	82.752	20.559	177.38	265.58	2.0445	4.6070e-05	0.051354	0.00036834	6922.4	0.00014446	0.43286	1.0334	98.414	24.285	221.52	173.51	9.0079	1.7395e-05	0.024302
146.79	4.1757	20310.	4.9238e-05	-1.4562	-1.2506	82.836	20.652	181.44	263.29	2.0768	4.5786e-05	0.051245	0.00035532	6983.9	0.00014319	0.42358	1.0215	98.315	24.421	227.99	173.25	8.9514	1.7471e-05	0.024532
146.90	4.1941	20234.	4.9422e-05	-1.4445	-1.2372	82.921	20.749	185.73	260.97	2.1101	4.5499e-05	0.051138	0.00034240	7046.6	0.00014191	0.41410	1.0093	98.214	24.561	234.86	172.99	8.8941	1.7548e-05	0.024769
147.01	4.2125	20157.	4.9612e-05	-1.4326	-1.2236	83.008	20.850	190.29	258.61	2.1442	4.5211e-05	0.051033	0.00032958	7110.7	0.00014063	0.40441	0.99683	98.112	24.705	242.16	172.72	8.8362	1.7628e-05	0.025013
147.12	4.2311	20078.	4.9805e-05	-1.4206	-1.2099	83.095	20.957	195.14	256.23	2.1793	4.4919e-05	0.050929	0.00031687	7176.1	0.00013935	0.39450	0.98411	98.008	24.855	249.93	172.44	8.7775	1.7709e-05	0.025267
147.23	4.2497	19998.	5.0005e-05	-1.4084	-1.1959	83.183	21.068	200.31	253.81	2.2154	4.4625e-05	0.050827	0.00030427	7242.9	0.00013807	0.38437	0.97110	97.902	25.009	258.22	172.15	8.7180	1.7793e-05	0.025529
147.34	4.2683	19917.	5.0209e-05	-1.3960	-1.1817	83.273	21.185	205.84	251.35	2.2525	4.4329e-05	0.050727	0.00029178	7311.3	0.00013677	0.37399	0.95779	97.794	25.168	267.08	171.85	8.6577	1.7878e-05	0.025801
147.45	4.2871	19834.	5.0419e-05	-1.3835	-1.1673	83.364	21.308	211.76	248.86	2.2908	4.4029e-05	0.050629	0.00027941	7381.3	0.00013548	0.36336	0.94417	97.684	25.333	276.57	171.54	8.5965	1.7966e-05	0.026083
147.57	4.3059	19749.	5.0635e-05	-1.3707	-1.1527	83.457	21.437	218.11	246.33	2.3302	4.3725e-05	0.050533	0.00026716	7452.9	0.00013418	0.35247	0.93021	97.572	25.505	286.77	171.21	8.5344	1.8056e-05	0.026376
147.68	4.3247	19662.	5.0858e-05	-1.3578	-1.1379	83.551	21.572	224.95	243.76	2.3709	4.3419e-05	0.050439	0.00025502	7526.3	0.00013287	0.34129	0.91590	97.458	25.682	297.75	170.87	8.4714	1.8149e-05	0.026682
147.79	4.3437	19574.	5.1088e-05	-1.3446	-1.1227	83.647	21.716	232.33	241.15	2.4129	4.3108e-05	0.050348	0.00024302	7601.7	0.00013155	0.32981	0.90122	97.342	25.867	309.61	170.52	8.4073	1.8245e-05	0.027000
147.90	4.3627	19484.	5.1325e-05	-1.3312	-1.1073	83.745	21.867	240.33	238.49	2.4563	4.2794e-05	0.050260	0.00023113	7679.0	0.00013023	0.31802	0.88615	97.223	26.059	322.46	170.16	8.3421	1.8343e-05	0.027333
148.01	4.3818	19391.	5.1570e-05	-1.3176	-1.0916	83.844	22.026	249.02	235.79	2.5012	4.2475e-05	0.050176	0.00021939	7758.5	0.00012889	0.30589	0.87066	97.102	26.259	336.41	169.77	8.2758	1.8444e-05	0.027680
148.12	4.4009	19296.	5.1824e-05	-1.3037	-1.0756	83.946	22.195	258.49	233.04	2.5476	4.2152e-05	0.050095	0.00020777	7840.3	0.00012755	0.29339	0.85472	96.978	26.468	351.63	169.37	8.2082	1.8549e-05	0.028045
148.23	4.4201	19199.	5.2086e-05	-1.2895	-1.0593	84.049	22.374	268.87	230.24	2.5958	4.1824e-05	0.050018	0.00019630	7924.5	0.00012619	0.28052	0.83830	96.850	26.687	368.28	168.95	8.1394	1.8657e-05	0.028429
148.35	4.4394	19099.	5.2359e-05	-1.2750	-1.0425	84.155	22.565	280.27	227.38	2.6458	4.1490e-05	0.049946	0.00018497	8011.3	0.00012482	0.26723	0.82137	96.720	26.916	386.58	168.52	8.0692	1.8769e-05	0.028832
148.46	4.4588	18996.	5.2642e-05	-1.2601	-1.0254	84.264	22.767	292.87	224.47	2.6977	4.1151e-05	0.049880	0.00017379	8101.0	0.00012344	0.25349	0.80389	96.586	27.157	406.79	168.05	7.9975	1.8886e-05	0.029259
148.57	4.4782	18890.	5.2938e-05	-1.2450	-1.0079	84.375	22.983	306.86	221.49	2.7517	4.0805e-05	0.049820	0.00016276	8193.8	0.00012204	0.23927	0.78581	96.448	27.410	429.20	167.57	7.9242	1.9006e-05	0.029711
148.68	4.4977	18781.	5.3246e-05	-1.2294	-0.98989	84.489	23.214	322.49	218.45	2.8080	4.0452e-05	0.049767	0.00015189	8289.9	0.00012063	0.22454	0.76709	96.306	27.677	454.21	167.05	7.8491	1.9132e-05	0.030191
148.79	4.5173	18668.	5.3568e-05	-1.2134	-0.97138	84.606	23.462	340.06	215.34	2.8667	4.0092e-05	0.049723	0.00014119	8389.7	0.00011919	0.20923	0.74766	96.160	27.959	482.28	166.51	7.7723	1.9263e-05	0.030703
148.90	4.5370	18551.	5.3906e-05	-1.1969	-0.95232	84.727	23.728	359.94	212.15	2.9281	3.9723e-05	0.049689	0.00013067	8493.5	0.00011774	0.19329	0.72747	96.008	28.258	514.01	165.93	7.6934	1.9400e-05	0.031252
